URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	5003	5003	52031	0	0.08771960584914262	1.0	0.16129084256169704
http://uricorn.fly/linsearch#fer	Werkstoffkunde	2958	2957	16922	1	0.1487499371195734	0.9996619337390128	0.25896571353505277
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	7406	7406	30912	0	0.19327731092436976	1.0	0.323943661971831
http://uricorn.fly/linsearch#elt	Elektrotechnik	3916	3914	24605	2	0.13724183877415055	0.9994892747701737	0.24134422691536916
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	4134	4134	24106	0	0.14638810198300284	1.0	0.25539012788039783
http://uricorn.fly/linsearch#bau	Bauwesen	5035	5030	27140	5	0.15635685421199877	0.9990069513406157	0.27039376427899475
http://uricorn.fly/linsearch#ber	Bergbau	544	543	6543	1	0.07662997459779848	0.9981617647058824	0.14233289646133684
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	8157	8155	45838	2	0.15103809753116146	0.9997548118180704	0.2624296057924377
http://uricorn.fly/linsearch#med	Medizintechnik	744	744	5562	0	0.11798287345385347	1.0	0.21106382978723404
http://uricorn.fly/linsearch#meda	Medizin	4095	4094	23010	1	0.15104781582054308	0.9997557997557998	0.2624443091124716
http://uricorn.fly/linsearch#arc	Architektur	6982	6976	27519	6	0.20223220756631397	0.9991406473789745	0.3363791981097958
http://uricorn.fly/linsearch#che	Chemie	4576	4575	29462	1	0.1344125510473896	0.9997814685314685	0.23696682464454977
http://uricorn.fly/linsearch#inf	Informatik	5372	5367	19657	5	0.21447410485933505	0.9990692479523455	0.35313857086458744
http://uricorn.fly/linsearch#mat	Mathematik	4477	4475	27575	2	0.13962558502340094	0.999553272280545	0.24502422865277743
http://uricorn.fly/linsearch#phy	Physik	5839	5838	23990	1	0.1957221402708864	0.9998287377975681	0.327361426528724
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	4002	4002	23696	0	0.14448696656798324	1.0	0.2524921135646687
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	13998	13989	85066	9	0.14122457220735954	0.9993570510072868	0.24747684714249066
http://uricorn.fly/linsearch#hor	Gartenbau	3408	3406	14166	2	0.19383109492374231	0.9994131455399061	0.3246901811248808
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	4733	4733	52985	0	0.08200214837658963	1.0	0.1515748346703816
http://uricorn.fly/linsearch#his	Geschichte	8379	8379	49063	0	0.14586887643187912	1.0	0.2545995958736573
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	3378	3373	8846	5	0.2760455029053114	0.9985198342214328	0.4325190741809322
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	7137	7136	22512	1	0.24069077172153264	0.9998598851057867	0.3879842327035476
http://uricorn.fly/linsearch#phi	Philosophie	2954	2953	18820	1	0.13562669361135352	0.9996614759647935	0.23884822259069033
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	11131	11119	45654	12	0.19585014003135293	0.9989219297457551	0.32749175306314793
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	3471	3471	12593	0	0.21607320717131473	1.0	0.355362170463271
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	16320	16320	37875	0	0.30113479103238305	1.0	0.4628802382471815
http://uricorn.fly/linsearch#spo	Sportwissenschaft	1144	1142	9522	2	0.10708927231807952	0.9982517482517482	0.19342818428184283
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	13239	13236	62659	3	0.17439884050332696	0.9997733967822343	0.29699104718738084
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	9151	9151	18827	0	0.32707841875759525	1.0	0.49293005467424383
	None	0	0	0	0	0.0	0.0	0.0
