URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	5003	5003	43116	0	0.10397140422702052	1.0	0.18835887203042054
http://uricorn.fly/linsearch#fer	Werkstoffkunde	2958	2957	28141	1	0.0950865007395974	0.9996619337390128	0.17365515621329575
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	7406	7405	26473	1	0.21857842847865872	0.9998649743451256	0.3587346187384943
http://uricorn.fly/linsearch#elt	Elektrotechnik	3916	3914	26813	2	0.12737982881504867	0.9994892747701737	0.22596195479606274
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	4134	4134	19629	0	0.1739679333417498	1.0	0.2963759544036993
http://uricorn.fly/linsearch#bau	Bauwesen	5035	5034	19676	1	0.20372318899231082	0.9998013902681231	0.3384770549672214
http://uricorn.fly/linsearch#ber	Bergbau	544	544	45958	0	0.011698421573265666	1.0	0.023126301917272458
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	8157	8157	28473	0	0.22268632268632269	1.0	0.36425748543104025
http://uricorn.fly/linsearch#med	Medizintechnik	744	744	4600	0	0.13922155688622753	1.0	0.24441524310118262
http://uricorn.fly/linsearch#meda	Medizin	4095	4095	108382	0	0.03640744329951901	1.0	0.07025700854407577
http://uricorn.fly/linsearch#arc	Architektur	6982	6982	21081	0	0.2487973488222927	1.0	0.39845912398344985
http://uricorn.fly/linsearch#che	Chemie	4576	4576	48313	0	0.08652082663691883	1.0	0.15926215957539372
http://uricorn.fly/linsearch#inf	Informatik	5372	5372	65952	0	0.07531826594133811	1.0	0.14008553249191613
http://uricorn.fly/linsearch#mat	Mathematik	4477	4476	16419	1	0.21421392677674084	0.9997766361402725	0.3528298912186662
http://uricorn.fly/linsearch#phy	Physik	5839	5839	56461	0	0.0937239165329053	1.0	0.17138496309015394
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	4002	4002	36894	0	0.09785798122065728	1.0	0.17827074702659362
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	13998	13994	27149	4	0.34013076343484916	0.9997142448921275	0.5075714985219709
http://uricorn.fly/linsearch#hor	Gartenbau	3408	3408	34132	0	0.09078316462440064	1.0	0.16645501611800334
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	4733	4731	48250	2	0.08929616277533456	0.999577435030636	0.16394635617008008
http://uricorn.fly/linsearch#his	Geschichte	8379	8379	14391	0	0.36798418972332014	1.0	0.5379947991909853
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	3378	3378	14912	0	0.18469108802624384	1.0	0.31179619715709805
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	7137	7137	5328	0	0.5725631768953069	1.0	0.7281910009182736
http://uricorn.fly/linsearch#phi	Philosophie	2954	2954	35082	0	0.07766326637921969	1.0	0.14413271529641378
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	11131	11125	53465	6	0.17224028487381948	0.9994609648728775	0.29384186685331676
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	3471	3471	70382	0	0.04699876782256645	1.0	0.08977807666442501
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	16320	16320	27061	0	0.37620156289619877	1.0	0.5467245104772114
http://uricorn.fly/linsearch#spo	Sportwissenschaft	1144	1144	82956	0	0.013602853745541023	1.0	0.02684059875181831
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	13239	13230	36871	9	0.26406658549729545	0.9993201903467029	0.4177455004736343
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	9151	9151	47124	0	0.1626121723678365	1.0	0.27973588481643386
	None	0	0	0	0	0.0	0.0	0.0
