URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	5003	5003	42272	0	0.10582760444209413	1.0	0.19139982401775127
http://uricorn.fly/linsearch#fer	Werkstoffkunde	2958	2957	27906	1	0.09581051744807699	0.9996619337390128	0.17486177227166555
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	7406	7405	28488	1	0.20630763658652104	0.9998649743451256	0.34204023187602484
http://uricorn.fly/linsearch#elt	Elektrotechnik	3916	3914	27279	2	0.1254768698105344	0.9994892747701737	0.22296277307812815
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	4134	4134	19973	0	0.17148546065458165	1.0	0.2927658369037923
http://uricorn.fly/linsearch#bau	Bauwesen	5035	5034	18614	1	0.21287212449255752	0.9998013902681231	0.35100930864972285
http://uricorn.fly/linsearch#ber	Bergbau	544	544	46193	0	0.011639600316665596	1.0	0.02301135762779975
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	8157	8157	28042	0	0.22533771651150583	1.0	0.3677969158625665
http://uricorn.fly/linsearch#med	Medizintechnik	744	744	4621	0	0.1386766076421249	1.0	0.24357505320019646
http://uricorn.fly/linsearch#meda	Medizin	4095	4095	107833	0	0.036586019584018296	1.0	0.07058945209139568
http://uricorn.fly/linsearch#arc	Architektur	6982	6982	21124	0	0.24841670817619013	1.0	0.39797081623347014
http://uricorn.fly/linsearch#che	Chemie	4576	4575	48839	1	0.08565170180102595	0.9997814685314685	0.1577858251422659
http://uricorn.fly/linsearch#inf	Informatik	5372	5372	65805	0	0.0754738187897776	1.0	0.14035454414819265
http://uricorn.fly/linsearch#mat	Mathematik	4477	4476	16912	1	0.20927622966149242	0.9997766361402725	0.3461047747921902
http://uricorn.fly/linsearch#phy	Physik	5839	5839	56477	0	0.09369985236536363	1.0	0.17134472892671118
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	4002	4002	36653	0	0.0984380764973558	1.0	0.1792328190429272
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	13998	13994	27700	4	0.33563582290017746	0.9997142448921275	0.5025497378438555
http://uricorn.fly/linsearch#hor	Gartenbau	3408	3408	34122	0	0.09080735411670664	1.0	0.16649567638868532
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	4733	4731	48519	2	0.08884507042253521	0.999577435030636	0.16318576134384216
http://uricorn.fly/linsearch#his	Geschichte	8379	8379	14586	0	0.3648595689092097	1.0	0.5346477794793263
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	3378	3378	14743	0	0.18641355333590862	1.0	0.31424717428717613
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	7137	7137	5412	0	0.5687305761415252	1.0	0.7250838159097837
http://uricorn.fly/linsearch#phi	Philosophie	2954	2954	35745	0	0.07633272177575648	1.0	0.14183852303555566
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	11131	11125	52865	6	0.17385528988904517	0.9994609648728775	0.2961888153778571
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	3471	3471	69628	0	0.047483549706562336	1.0	0.09066213921901528
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	16320	16320	27078	0	0.37605419604590073	1.0	0.5465688737064202
http://uricorn.fly/linsearch#spo	Sportwissenschaft	1144	1144	82414	0	0.013691088824529069	1.0	0.027012349177115064
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	13239	13230	36783	9	0.2645312218823106	0.9993201903467029	0.41832669322709165
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	9151	9151	46859	0	0.16338153901089092	1.0	0.2808735286444346
	None	0	0	0	0	0.0	0.0	0.0
