URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	5003	5003	52682	0	0.0867296524226402	1.0	0.15961587544665645
http://uricorn.fly/linsearch#fer	Werkstoffkunde	2958	2955	19909	3	0.12924247725682295	0.9989858012170385	0.22887460305166135
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	7406	7405	36462	1	0.16880570816331184	0.9998649743451256	0.2888459813157022
http://uricorn.fly/linsearch#elt	Elektrotechnik	3916	3914	23931	2	0.14056383551804633	0.9994892747701737	0.2464657913793646
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	4134	4133	28966	1	0.12486782078008399	0.9997581035316885	0.22200735906319663
http://uricorn.fly/linsearch#bau	Bauwesen	5035	5030	51218	5	0.08942540179206372	0.9990069513406157	0.16415645448166705
http://uricorn.fly/linsearch#ber	Bergbau	544	542	7721	2	0.0655936100689822	0.9963235294117647	0.12308391052571817
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	8157	8157	52109	0	0.1353499485613779	1.0	0.23842859857065607
http://uricorn.fly/linsearch#med	Medizintechnik	744	741	3507	3	0.17443502824858756	0.9959677419354839	0.296875
http://uricorn.fly/linsearch#meda	Medizin	4095	4094	27972	1	0.1276741720202083	0.9997557997557998	0.226431791156218
http://uricorn.fly/linsearch#arc	Architektur	6982	6980	56465	2	0.11001654976751517	0.9997135491263248	0.1982194328879549
http://uricorn.fly/linsearch#che	Chemie	4576	4573	24073	3	0.15963834392236265	0.9993444055944056	0.27529950033110595
http://uricorn.fly/linsearch#inf	Informatik	5372	5372	26954	0	0.1661820206644806	1.0	0.285001856862433
http://uricorn.fly/linsearch#mat	Mathematik	4477	4476	33795	1	0.1169553970369209	0.9997766361402725	0.2094133058856555
http://uricorn.fly/linsearch#phy	Physik	5839	5839	28579	0	0.16964960195246673	1.0	0.29008619618948256
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	4002	3999	29349	3	0.11991723641597697	0.9992503748125937	0.21413654618473896
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	13998	13996	94593	2	0.12888966654080986	0.9998571224460637	0.22834395164250693
http://uricorn.fly/linsearch#hor	Gartenbau	3408	3405	17674	3	0.1615351771905688	0.9991197183098591	0.27810675052068445
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	4733	4731	28549	2	0.1421574519230769	0.999577435030636	0.2489148449214742
http://uricorn.fly/linsearch#his	Geschichte	8379	8379	43333	0	0.1620320235148515	1.0	0.2788770364946498
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	3378	3374	22974	4	0.12805526036131776	0.9988158673771462	0.22700666083563212
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	7137	7137	30354	0	0.1903656877650636	1.0	0.31984404409787576
http://uricorn.fly/linsearch#phi	Philosophie	2954	2954	28827	0	0.09294861709826625	1.0	0.17008780768677126
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	11131	11128	71835	3	0.13413208297674867	0.9997304824364388	0.2365294280187897
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	3471	3470	26381	1	0.11624401192589863	0.9997118985883031	0.20827081207610587
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	16320	16320	58153	0	0.21913982248600164	1.0	0.35949908032557576
http://uricorn.fly/linsearch#spo	Sportwissenschaft	1144	1137	12743	7	0.0819164265129683	0.9938811188811189	0.15135782747603835
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	13239	13239	103811	0	0.11310551046561299	1.0	0.20322513796252947
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	9151	9151	50587	0	0.1531855770196525	1.0	0.2656737650423145
	None	0	0	0	0	0.0	0.0	0.0
