URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	5003	3257	4106	1746	0.44234686948254787	0.651009394363382	0.5267669416141031
http://uricorn.fly/linsearch#fer	Werkstoffkunde	2958	1829	4237	1129	0.3015166501813386	0.6183231913455037	0.40536347517730503
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	7406	6106	6079	1300	0.5011079195732457	0.824466648663246	0.6233474554642439
http://uricorn.fly/linsearch#elt	Elektrotechnik	3916	3352	9280	564	0.26535782140595315	0.8559754851889684	0.4051244863427605
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	4134	3338	8773	796	0.2756172074973165	0.8074504112239961	0.41095721760541704
http://uricorn.fly/linsearch#bau	Bauwesen	5035	3813	9911	1222	0.27783445059749345	0.7572989076464747	0.4065248680633296
http://uricorn.fly/linsearch#ber	Bergbau	544	399	2156	145	0.15616438356164383	0.7334558823529411	0.25750242013552754
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	8157	6309	5579	1848	0.5307032301480484	0.773446119897021	0.6294836617610376
http://uricorn.fly/linsearch#med	Medizintechnik	744	488	88	256	0.8472222222222222	0.6559139784946236	0.7393939393939394
http://uricorn.fly/linsearch#meda	Medizin	4095	2864	2831	1231	0.5028972783143107	0.6993894993894993	0.5850868232890704
http://uricorn.fly/linsearch#arc	Architektur	6982	5625	3102	1357	0.6445513922310072	0.8056430822114008	0.7161499777197785
http://uricorn.fly/linsearch#che	Chemie	4576	3593	4294	983	0.45555978191961455	0.7851835664335665	0.576586696622001
http://uricorn.fly/linsearch#inf	Informatik	5372	4534	3139	838	0.5909031669490421	0.844005956813105	0.6951322345726333
http://uricorn.fly/linsearch#mat	Mathematik	4477	3614	2296	863	0.6115059221658207	0.8072369890551708	0.6958698372966208
http://uricorn.fly/linsearch#phy	Physik	5839	4766	2652	1073	0.6424912375303317	0.8162356567905463	0.7190163687108698
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	4002	3022	3584	980	0.45746291250378446	0.7551224387806097	0.5697586726998491
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	13998	10524	6294	3474	0.62575811630396	0.7518216888126875	0.6830218068535826
http://uricorn.fly/linsearch#hor	Gartenbau	3408	2731	2206	677	0.5531699412598744	0.801349765258216	0.654523666866387
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	4733	3860	4188	873	0.47962226640159045	0.8155503908725966	0.6040215945544167
http://uricorn.fly/linsearch#his	Geschichte	8379	6631	5790	1748	0.5338539570082924	0.7913832199546486	0.6375961538461539
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	3378	2345	1811	1033	0.5642444658325313	0.6941977501480165	0.6225112821874171
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	7137	6039	5831	1098	0.5087615838247683	0.8461538461538461	0.6354500973325616
http://uricorn.fly/linsearch#phi	Philosophie	2954	2264	3497	690	0.39298732858878666	0.7664184157075152	0.5195639701663797
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	11131	10084	6593	1047	0.6046651076332674	0.9059383703171323	0.7252589182968929
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	3471	2907	1050	564	0.734647460197119	0.8375108038029386	0.782714054927302
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	16320	13122	2998	3198	0.8140198511166253	0.8040441176470589	0.8090012330456227
http://uricorn.fly/linsearch#spo	Sportwissenschaft	1144	901	2750	243	0.24678170364283758	0.7875874125874126	0.375808133472367
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	13239	9645	10343	3594	0.48253952371422854	0.7285293451167006	0.5805519607548079
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	9151	9142	5976	9	0.6047096176742955	0.9990165009288602	0.7533890972021922
	None	0	0	0	0	0.0	0.0	0.0
