URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	2042	2039	24173	3	0.07778879902334808	0.9985308521057786	0.14433354569264528
http://uricorn.fly/linsearch#fer	Werkstoffkunde	1138	1137	10241	1	0.0999296888732642	0.9991212653778558	0.18168744007670182
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	3022	3022	17292	0	0.1487643989366939	1.0	0.25899897154610907
http://uricorn.fly/linsearch#elt	Elektrotechnik	1537	1536	14203	1	0.09759196899421818	0.9993493819128172	0.17781893956934475
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	1760	1760	14961	0	0.10525686262783326	1.0	0.1904658838807424
http://uricorn.fly/linsearch#bau	Bauwesen	2032	2032	21453	0	0.08652331275282095	1.0	0.15926637143864875
http://uricorn.fly/linsearch#ber	Bergbau	184	184	6261	0	0.028549262994569433	1.0	0.05551365213456026
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	3223	3220	14741	3	0.17927732308891486	0.99906919019547	0.30400302114803623
http://uricorn.fly/linsearch#med	Medizintechnik	305	305	2645	0	0.10338983050847457	1.0	0.18740399385560674
http://uricorn.fly/linsearch#arc	Architektur	2805	2802	21981	3	0.11306137271516765	0.9989304812834224	0.20313179643323187
http://uricorn.fly/linsearch#che	Chemie	1799	1799	8589	0	0.17318059299191374	1.0	0.2952326249282022
http://uricorn.fly/linsearch#inf	Informatik	2154	2154	7327	0	0.2271912245543719	1.0	0.37026214009454234
http://uricorn.fly/linsearch#mat	Mathematik	1761	1760	8142	1	0.17774187032922642	0.9994321408290744	0.3018091400154334
http://uricorn.fly/linsearch#phy	Physik	2358	2357	10204	1	0.18764429583631875	0.9995759117896522	0.31597292043702657
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	1649	1647	12092	2	0.11987772035810466	0.9987871437234688	0.21406290616064463
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	5652	5648	20712	4	0.2142640364188164	0.9992922859164898	0.35286767462201674
http://uricorn.fly/linsearch#hor	Gartenbau	1396	1396	12538	0	0.10018659394287355	1.0	0.18212654924983693
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	1933	1932	14576	1	0.11703416525321056	0.999482669425763	0.20953310557995772
http://uricorn.fly/linsearch#his	Geschichte	3445	3444	22133	1	0.13465222660984477	0.9997097242380262	0.23733719247467439
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	1306	1302	6556	4	0.16569101552557902	0.996937212863706	0.2841553906591008
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	2761	2758	11809	3	0.1893320518981259	0.9989134371604491	0.3183287165281625
http://uricorn.fly/linsearch#phi	Philosophie	1195	1194	12106	1	0.08977443609022556	0.999163179916318	0.16474646429803377
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	4417	4416	16848	1	0.2076749435665914	0.9997736019923025	0.3439118414391963
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	1426	1426	9742	0	0.12768624641833812	1.0	0.22645704303636655
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	6451	6448	18572	3	0.2577138289368505	0.999534955820803	0.4097740777223476
http://uricorn.fly/linsearch#spo	Sportwissenschaft	519	519	9230	0	0.053236229356857116	1.0	0.10109076743280095
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	5226	5223	30419	3	0.14654059817069748	0.9994259471871412	0.25560340608789267
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	3733	3731	3194	2	0.5387725631768953	0.999464237878382	0.700131356727341
	None	0	0	0	0	0.0	0.0	0.0
