URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	2042	2039	21761	3	0.08567226890756302	0.9985308521057786	0.157805123442458
http://uricorn.fly/linsearch#fer	Werkstoffkunde	1138	1136	7165	2	0.13685098180942054	0.9982425307557118	0.24070346435003706
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	3022	3021	14439	1	0.17302405498281787	0.999669093315685	0.2949907235621521
http://uricorn.fly/linsearch#elt	Elektrotechnik	1537	1537	10835	0	0.12423213708373747	1.0	0.22100798044431663
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	1760	1758	10732	2	0.14075260208166535	0.9988636363636364	0.2467368421052632
http://uricorn.fly/linsearch#bau	Bauwesen	2032	2030	18950	2	0.09675881792183032	0.9990157480314961	0.17642968885798713
http://uricorn.fly/linsearch#ber	Bergbau	184	181	3446	3	0.04990350151640474	0.9836956521739131	0.09498819207557072
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	3223	3223	21707	0	0.12928198957079823	1.0	0.22896316555962065
http://uricorn.fly/linsearch#med	Medizintechnik	305	301	1620	4	0.1566892243623113	0.9868852459016394	0.27044025157232704
http://uricorn.fly/linsearch#arc	Architektur	2805	2805	22251	0	0.1119492337164751	1.0	0.20135673522127706
http://uricorn.fly/linsearch#che	Chemie	1799	1799	9083	0	0.16531887520676347	1.0	0.2837315669111269
http://uricorn.fly/linsearch#inf	Informatik	2154	2154	13027	0	0.14188788617350637	1.0	0.2485145659071243
http://uricorn.fly/linsearch#mat	Mathematik	1761	1754	10683	7	0.14103079520784756	0.9960249858035207	0.24707705310607134
http://uricorn.fly/linsearch#phy	Physik	2358	2357	12005	1	0.16411363319871883	0.9995759117896522	0.2819377990430622
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	1649	1649	13061	0	0.11210061182868797	1.0	0.20160156488782932
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	5652	5652	36156	0	0.1351894374282434	1.0	0.2381795195954488
http://uricorn.fly/linsearch#hor	Gartenbau	1396	1395	6966	1	0.1668460710441335	0.9992836676217765	0.2859485497591473
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	1933	1933	12056	0	0.13817999857030525	1.0	0.24280869237532976
http://uricorn.fly/linsearch#his	Geschichte	3445	3445	19596	0	0.14951608003124864	1.0	0.26013743109567317
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	1306	1306	9244	0	0.12379146919431279	1.0	0.22031039136302294
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	2761	2761	12033	0	0.18662971474922266	1.0	0.31455425804614073
http://uricorn.fly/linsearch#phi	Philosophie	1195	1194	10360	1	0.10334083434308465	0.999163179916318	0.18730880853400267
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	4417	4416	26679	1	0.14201640135069946	0.9997736019923025	0.24870466321243517
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	1426	1425	13061	1	0.09837084081181831	0.9992987377279102	0.17911010558069382
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	6451	6451	28564	0	0.18423532771669285	1.0	0.31114648145468576
http://uricorn.fly/linsearch#spo	Sportwissenschaft	519	519	6757	0	0.07133040131940627	1.0	0.13316228351507375
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	5226	5226	40898	0	0.1133032694475761	1.0	0.20354430379746835
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	3733	3733	28545	0	0.11565152735609394	1.0	0.20732553941851103
	None	0	0	0	0	0.0	0.0	0.0
