URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	2042	2041	15214	1	0.1182845552013909	0.9995102840352595	0.21153547183500027
http://uricorn.fly/linsearch#fer	Werkstoffkunde	1138	1138	7421	0	0.13295945788059352	1.0	0.2347117665257296
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	3022	3022	16957	0	0.151258821762851	1.0	0.2627711838615712
http://uricorn.fly/linsearch#elt	Elektrotechnik	1537	1537	9512	0	0.13910761154855644	1.0	0.24423963133640558
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	1760	1760	9219	0	0.16030603880134803	1.0	0.2763168223565429
http://uricorn.fly/linsearch#bau	Bauwesen	2032	2029	6904	3	0.22713534087092802	0.9985236220472441	0.37008663930688557
http://uricorn.fly/linsearch#ber	Bergbau	184	184	17506	0	0.010401356698699831	1.0	0.020588564395210923
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	3223	3223	13942	0	0.18776580250509758	1.0	0.3161663723759074
http://uricorn.fly/linsearch#med	Medizintechnik	305	305	3240	0	0.08603667136812412	1.0	0.15844155844155844
http://uricorn.fly/linsearch#arc	Architektur	2805	2805	7604	0	0.2694783360553367	1.0	0.4245497199939458
http://uricorn.fly/linsearch#che	Chemie	1799	1799	27465	0	0.06147484964461454	1.0	0.1158291214628336
http://uricorn.fly/linsearch#inf	Informatik	2154	2154	28507	0	0.070252111803268	1.0	0.13128142617705318
http://uricorn.fly/linsearch#mat	Mathematik	1761	1760	6421	1	0.21513262437354846	0.9994321408290744	0.35405351036008853
http://uricorn.fly/linsearch#phy	Physik	2358	2358	25082	0	0.085932944606414	1.0	0.15826565541311496
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	1649	1649	17715	0	0.08515802520140467	1.0	0.15695045923951842
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	5652	5649	10080	3	0.3591455273698264	0.9994692144373672	0.5284130770310088
http://uricorn.fly/linsearch#hor	Gartenbau	1396	1396	15328	0	0.08347285338435781	1.0	0.15408388520971303
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	1933	1933	22101	0	0.08042772738620288	1.0	0.14888127238417992
http://uricorn.fly/linsearch#his	Geschichte	3445	3445	6815	0	0.3357699805068226	1.0	0.5027362276541408
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	1306	1306	6266	0	0.17247754886423666	1.0	0.29421040774949314
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	2761	2761	2760	0	0.5000905633037493	1.0	0.6667471625211302
http://uricorn.fly/linsearch#phi	Philosophie	1195	1195	26218	0	0.043592456133951046	1.0	0.08354306487695749
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	4417	4416	18305	1	0.1943576427093878	0.9997736019923025	0.32544771169577713
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	1426	1426	37168	0	0.03694874851013111	1.0	0.07126436781609195
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	6451	6451	13066	0	0.3305323564072347	1.0	0.4968422674060382
http://uricorn.fly/linsearch#spo	Sportwissenschaft	519	519	33980	0	0.015043914316356996	1.0	0.02964189845222457
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	5226	5224	11747	2	0.3078192210240999	0.9996172981247609	0.47069423796008464
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	3733	3733	25119	0	0.12938444475253016	1.0	0.2291238299831211
	None	0	0	0	0	0.0	0.0	0.0
