URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	2042	20	3	2022	0.8695652173913043	0.009794319294809012	0.019370460048426155
http://uricorn.fly/linsearch#fer	Werkstoffkunde	1138	3	6	1135	0.3333333333333333	0.0026362038664323375	0.0052310374891020054
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	3022	0	0	3022	0.0	0.0	0.0
http://uricorn.fly/linsearch#elt	Elektrotechnik	1537	4	9	1533	0.3076923076923077	0.002602472348731295	0.005161290322580645
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	1760	0	0	1760	0.0	0.0	0.0
http://uricorn.fly/linsearch#bau	Bauwesen	2032	1	6	2031	0.14285714285714285	0.0004921259842519685	0.000980872976949485
http://uricorn.fly/linsearch#ber	Bergbau	184	3	10	181	0.23076923076923078	0.016304347826086956	0.030456852791878174
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	3223	0	0	3223	0.0	0.0	0.0
http://uricorn.fly/linsearch#med	Medizintechnik	305	271	16	34	0.9442508710801394	0.8885245901639345	0.9155405405405406
http://uricorn.fly/linsearch#arc	Architektur	2805	0	0	2805	0.0	0.0	0.0
http://uricorn.fly/linsearch#che	Chemie	1799	9	31	1790	0.225	0.005002779321845469	0.009787928221859706
http://uricorn.fly/linsearch#inf	Informatik	2154	0	5	2154	0.0	0.0	0.0
http://uricorn.fly/linsearch#mat	Mathematik	1761	6	10	1755	0.375	0.0034071550255536627	0.006752954417557682
http://uricorn.fly/linsearch#phy	Physik	2358	0	3	2358	0.0	0.0	0.0
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	1649	0	0	1649	0.0	0.0	0.0
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	5652	0	0	5652	0.0	0.0	0.0
http://uricorn.fly/linsearch#hor	Gartenbau	1396	19	2	1377	0.9047619047619048	0.013610315186246419	0.026817219477769935
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	1933	0	0	1933	0.0	0.0	0.0
http://uricorn.fly/linsearch#his	Geschichte	3445	24	200	3421	0.10714285714285714	0.006966618287373005	0.013082583810302535
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	1306	142	15	1164	0.9044585987261147	0.10872894333843798	0.19412166780587833
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	2761	107	10	2654	0.9145299145299145	0.038754074610648316	0.07435719249478805
http://uricorn.fly/linsearch#phi	Philosophie	1195	1	25	1194	0.038461538461538464	0.0008368200836820083	0.001638001638001638
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	4417	277	11	4140	0.9618055555555556	0.06271224813221643	0.11774707757704568
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	1426	0	0	1426	0.0	0.0	0.0
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	6451	3	3	6448	0.5	0.0004650441791970237	0.0009292240978782717
http://uricorn.fly/linsearch#spo	Sportwissenschaft	519	75	13	444	0.8522727272727273	0.14450867052023122	0.24711696869851732
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	5226	0	0	5226	0.0	0.0	0.0
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	3733	0	0	3733	0.0	0.0	0.0
	None	0	0	0	0	0.0	0.0	0.0
