<http://uri.gbv.de/terminology/bk/0>	Allgemeine Werke und Philosophie
<http://uri.gbv.de/terminology/bk/01>	Allgemeines
<http://uri.gbv.de/terminology/bk/01.00>	Allgemeines
<http://uri.gbv.de/terminology/bk/01.10>	Bibliographie: Allgemeines
<http://uri.gbv.de/terminology/bk/01.11>	Allgemeinbibliographien. Universalbibliographien
<http://uri.gbv.de/terminology/bk/01.14>	Nationalbibliographien. Regionalbibliographien
<http://uri.gbv.de/terminology/bk/01.18>	Spezialbibliographien
<http://uri.gbv.de/terminology/bk/01.20>	Allgemeine Nachschlagewerke: Allgemeines
<http://uri.gbv.de/terminology/bk/01.22>	Allgemeinenzyklopädien. Universallexika
<http://uri.gbv.de/terminology/bk/01.24>	Adreßbücher
<http://uri.gbv.de/terminology/bk/01.25>	Abkürzungsverzeichnisse
<http://uri.gbv.de/terminology/bk/01.29>	Allgemeine Nachschlagewerke: Sonstiges
<http://uri.gbv.de/terminology/bk/01.30>	Biographie. biographisches Nachschlagewerk
<http://uri.gbv.de/terminology/bk/01.31>	Biographische Nachschlagewerke
<http://uri.gbv.de/terminology/bk/01.40>	Allgemeine Sammelwerke
<http://uri.gbv.de/terminology/bk/01.99>	Allgemeines: Sonstiges
<http://uri.gbv.de/terminology/bk/02>	Wissenschaft und Kultur allgemein
<http://uri.gbv.de/terminology/bk/02.00>	Wissenschaft und Kultur allgemein: Allgemeines
<http://uri.gbv.de/terminology/bk/02.01>	Geschichte der Wissenschaft und Kultur
<http://uri.gbv.de/terminology/bk/02.02>	Wissenschaftstheorie
<http://uri.gbv.de/terminology/bk/02.10>	Wissenschaft und Gesellschaft
<http://uri.gbv.de/terminology/bk/02.13>	Wissenschaftspraxis
<http://uri.gbv.de/terminology/bk/02.14>	Organisation von Wissenschaft und Kultur
<http://uri.gbv.de/terminology/bk/02.15>	Wissenschaftspolitik. Kulturpolitik
<http://uri.gbv.de/terminology/bk/02.16>	Wissenschaftliche und kulturelle Zusammenarbeit
<http://uri.gbv.de/terminology/bk/02.20>	Wissenschaftsinformation
<http://uri.gbv.de/terminology/bk/02.30>	Museumskunde
<http://uri.gbv.de/terminology/bk/02.40>	Futurologie
<http://uri.gbv.de/terminology/bk/02.50>	Esoterik
<http://uri.gbv.de/terminology/bk/02.60>	Freimaurerei
<http://uri.gbv.de/terminology/bk/02.99>	Wissenschaft und Kultur allgemein: Sonstiges
<http://uri.gbv.de/terminology/bk/05>	Kommunikationswissenschaft
<http://uri.gbv.de/terminology/bk/05.00>	Kommunikationswissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/05.01>	Geschichte der Kommunikationswissenschaft
<http://uri.gbv.de/terminology/bk/05.02>	Kommunikationstheorie
<http://uri.gbv.de/terminology/bk/05.04>	Ausbildung, Beruf, Organisationen
<http://uri.gbv.de/terminology/bk/05.12>	Kommunikationsprozesse
<http://uri.gbv.de/terminology/bk/05.15>	Leseforschung
<http://uri.gbv.de/terminology/bk/05.20>	Kommunikation und Gesellschaft
<http://uri.gbv.de/terminology/bk/05.30>	Massenkommunikation. Massenmedien: Allgemeines
<http://uri.gbv.de/terminology/bk/05.31>	Öffentlichkeit
<http://uri.gbv.de/terminology/bk/05.32>	Öffentliche Meinung
<http://uri.gbv.de/terminology/bk/05.33>	Pressewesen
<http://uri.gbv.de/terminology/bk/05.34>	Rundfunk allgemein
<http://uri.gbv.de/terminology/bk/05.35>	Hörfunk
<http://uri.gbv.de/terminology/bk/05.36>	Fernsehen
<http://uri.gbv.de/terminology/bk/05.37>	Film. Video
<http://uri.gbv.de/terminology/bk/05.38>	Neue elektronische Medien
<http://uri.gbv.de/terminology/bk/05.39>	Massenkommunikation, Massenmedien: Sonstiges
<http://uri.gbv.de/terminology/bk/05.40>	Nachrichtenwesen
<http://uri.gbv.de/terminology/bk/05.42>	Telekommunikation
<http://uri.gbv.de/terminology/bk/05.99>	Kommunikationswissenschaft: Sonstiges
<http://uri.gbv.de/terminology/bk/06>	Information und Dokumentation
<http://uri.gbv.de/terminology/bk/06.00>	Information und Dokumentation: Allgemeines
<http://uri.gbv.de/terminology/bk/06.01>	Geschichte des Informations- und Dokumentationswesens
