<http://uricorn.fly/linsearch#tec>	Technik allgemein
<http://uricorn.fly/linsearch#fer>	Werkstoffkunde
<http://uricorn.fly/linsearch#mas>	Maschinenbau, Energietechnik
<http://uricorn.fly/linsearch#elt>	Elektrotechnik 
<http://uricorn.fly/linsearch#ver>	Verkehrstechnik, Verkehrswesen
<http://uricorn.fly/linsearch#bau>	Bauwesen
<http://uricorn.fly/linsearch#ber>	Bergbau
<http://uricorn.fly/linsearch#cet>	Chemische und Umwelttechnik
<http://uricorn.fly/linsearch#med>	Medizintechnik 
<http://uricorn.fly/linsearch#meda>	Medizin
<http://uricorn.fly/linsearch#arc>	Architektur
<http://uricorn.fly/linsearch#che>	Chemie
<http://uricorn.fly/linsearch#inf>	Informatik
<http://uricorn.fly/linsearch#mat>	Mathematik
<http://uricorn.fly/linsearch#phy>	Physik
<http://uricorn.fly/linsearch#bio>	Biowissenschaften, Biologie
<http://uricorn.fly/linsearch#pae>	Erziehungswissenschaften, Fachdidaktiken
<http://uricorn.fly/linsearch#hor>	Gartenbau
<http://uricorn.fly/linsearch#geo>	Geowissenschaften, Geographie
<http://uricorn.fly/linsearch#his>	Geschichte
<http://uricorn.fly/linsearch#lin>	Sprachwissenschaften
<http://uricorn.fly/linsearch#lit>	Literaturwissenschaften
<http://uricorn.fly/linsearch#phi>	Philosophie
<http://uricorn.fly/linsearch#jur>	Rechtswissenschaften
<http://uricorn.fly/linsearch#rel>	Religionswissenschaft, Theologie
<http://uricorn.fly/linsearch#sow>	Sozialwissenschaften
<http://uricorn.fly/linsearch#spo>	Sportwissenschaft
<http://uricorn.fly/linsearch#oek>	Wirtschaftswissenschaften
<http://uricorn.fly/linsearch#rest>	Konnte nicht zugeordnet werden

