Notation 1	Name
<http://uricorn.fly/tib_lok_sys#jur-435>	Arbeitskampf / Streik / Aussperrung
<http://uricorn.fly/tib_lok_sys#jur-638.2>	Rücktritt
<http://uricorn.fly/tib_lok_sys#jur-857.7>	Handlungseinheit / Fortgesetzte Delikte / Fortsetzungszusammenhang
<http://uricorn.fly/tib_lok_sys#jur-874-874.4>	Straftaten gegen Religion, Familie und Personenstand
<http://uricorn.fly/tib_lok_sys#jur-460-461>	Sozialhilfe / BSHG / Fürsorgerecht
<http://uricorn.fly/tib_lok_sys#jur-112.2>	Europarecht. Unlauterer Wettbewerb / Missbrauch marktbeherrschender Stellungen
<http://uricorn.fly/tib_lok_sys#jur-335.5>	Interzonenhandel
<http://uricorn.fly/tib_lok_sys#jur-240-244>	Polizei- und Ordnungsrecht
<http://uricorn.fly/tib_lok_sys#jur-685.6>	Wohnungseigentum - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-480-484>	Gerichtsverfassung - Gerichte
<http://uricorn.fly/tib_lok_sys#jur-998.43>	Kamerun
<http://uricorn.fly/tib_lok_sys#jur-988.65>	Zypern
<http://uricorn.fly/tib_lok_sys#jur-321-321.4>	Steuerstrafrecht / Zollstrafrecht
<http://uricorn.fly/tib_lok_sys#jur-950.5>	Sozialtherapie
<http://uricorn.fly/tib_lok_sys#jur-121.3>	Europarecht. Kapitalgesellschaft
<http://uricorn.fly/tib_lok_sys#jur-616.3>	Allgemeine Geschäftsbedingungen. Vertragsklauseln
<http://uricorn.fly/tib_lok_sys#jur-998.14>	Algerien
<http://uricorn.fly/tib_lok_sys#jur-40>	Germanisches Recht
<http://uricorn.fly/tib_lok_sys#jur-010-019>	Rechtssoziologie, -politik
<http://uricorn.fly/tib_lok_sys#jur-800.5>	Gesellschaftsrecht. Willensbildung / Gesellschaftsrecht. Beschlussfassung
<http://uricorn.fly/tib_lok_sys#jur-882.8>	Münzgesetz / Wertzeichenfälschung
<http://uricorn.fly/tib_lok_sys#jur-113.8>	Europarecht. Rohstoffe und Chemikalien
<http://uricorn.fly/tib_lok_sys#jur-742>	Einführungsgesetz des BGB / Bürgerliches Recht
<http://uricorn.fly/tib_lok_sys#jur-34>	Griechisches Recht
<http://uricorn.fly/tib_lok_sys#jur-262>	Arztrecht / Recht der Heil- und Hilfsberufe
<http://uricorn.fly/tib_lok_sys#jur-635.5>	Verzug
<http://uricorn.fly/tib_lok_sys#jur-122>	Europarecht. Gewerblicher Rechtsschutz
