jur 435	Arbeitskampf / Streik / Aussperrung
jur 638.2	Rücktritt
jur 857.7	Handlungseinheit / Fortgesetzte Delikte / Fortsetzungszusammenhang
jur 874-874.4	Straftaten gegen Religion, Familie und Personenstand
jur 460-461	Sozialhilfe / BSHG / Fürsorgerecht
jur 112.2	Europarecht. Unlauterer Wettbewerb / Missbrauch marktbeherrschender Stellungen
jur 335.5	Interzonenhandel
jur 240-244	Polizei- und Ordnungsrecht
jur 685.6	Wohnungseigentum - Einzelfragen
jur 480-484	Gerichtsverfassung - Gerichte
jur 998.43	Kamerun
jur 988.65	Zypern
jur 321-321.4	Steuerstrafrecht / Zollstrafrecht
jur 950.5	Sozialtherapie
jur 121.3	Europarecht. Kapitalgesellschaft
jur 616.3	Allgemeine Geschäftsbedingungen. Vertragsklauseln
jur 998.14	Algerien
jur 040	Germanisches Recht
jur 010-019	Rechtssoziologie, -politik
jur 800.5	Gesellschaftsrecht. Willensbildung / Gesellschaftsrecht. Beschlussfassung
jur 882.8	Münzgesetz / Wertzeichenfälschung
jur 113.8	Europarecht. Rohstoffe und Chemikalien
jur 742	Einführungsgesetz des BGB / Bürgerliches Recht
jur 034	Griechisches Recht
jur 262	Arztrecht / Recht der Heil- und Hilfsberufe
jur 635.5	Verzug
jur 122	Europarecht. Gewerblicher Rechtsschutz
jur 995.24	Nicaragua
jur 857.6	Erfolgsdelikte
jur 337.7	Berufsgerichtsbarkeit
jur 866	Maßregeln der Besserung und Sicherung
jur 191.8	Innere Verwaltungsverfahrensordnung
jur 997.33	Indonesien
jur 923.3	Arrestvollzug
jur 830.2	Urheberrecht. Sprachwerke / Urheberrecht. Schriftwerke / Urheberrecht. Software
jur 223.3	Beihilferecht / Beamtenrecht. Fürsorgeleistungen
jur 345.4	Marktbeherrschende Unternehmen / Kartellrecht. Missbrauchsaufsicht / Fusionskontrolle
jur 996.21	Libanon
jur 501.1	Zivilprozessrecht / Erkenntnisverfahren  - Grundfragen
jur 501.5	Zivilprozessrecht. Streitgegenstand / Streitwert
jur 285	Hochschulrecht / Wissenschaftsrecht
jur 320.7	Finanzgerichtsbarkeit. Rechtsmittel / Finanzgerichtsbarkeit. Revision
jur 879.4	Erpressung
jur 407.3	Eisenbahnverkehrsrecht
jur 374.6	Einzelne Nahrungs- und Genussmittel
jur 629	Gattungsschuld / Stückschuld / Konkretisierung / Geldschuld / Zinsen / Zinshöhe / Wertsicherungsklauseln
jur 237	Wehrdienstverweigerung
jur 872.2	Verletzung der Obhutspflicht / Misshandlung / Züchtigung
jur 459	Familienfürsorge / Kindergeld
jur 603.5	Persönlichkeitsrechte - Einzelfragen
jur 987.5	San Marino
jur 283	Privatschulen
jur 412.4	Schiffssicherheit
